system,code,valid_from,valid_to,iso3,basis
cow,987,,,FSM,name
cow,990,,,WSM,name
gw,2,,,USA,name
gw,20,,,CAN,name
gw,31,,,BHS,name
gw,40,,,CUB,name
gw,41,,,HTI,name
gw,42,,,DOM,name
gw,51,,,JAM,name
gw,52,,,TTO,name
gw,53,,,BRB,name
gw,70,,,MEX,name
gw,80,,,BLZ,name
gw,89,,,,no_iso_code
gw,90,,,GTM,name
gw,91,,,HND,name
gw,92,,,SLV,name
gw,93,,,NIC,name
gw,94,,,CRI,name
gw,95,,,PAN,name
gw,99,,,,no_iso_code
gw,100,,,COL,name
gw,101,,,VEN,name
gw,110,,,GUY,name
gw,115,,,SUR,name
gw,130,,,ECU,name
gw,135,,,PER,name
gw,140,,,BRA,name
gw,145,,,BOL,name
gw,150,,,PRY,name
gw,155,,,CHL,name
gw,160,,,ARG,name
gw,165,,,URY,name
gw,200,,,GBR,name
gw,205,,,IRL,name
gw,210,,,NLD,name
gw,211,,,BEL,name
gw,212,,,LUX,name
gw,220,,,FRA,name
gw,225,,,CHE,name
gw,230,,,ESP,name
gw,235,,,PRT,name
gw,240,,,,no_iso_code
gw,245,,,,no_iso_code
gw,255,,1945-05-09,DEU,territorial_continuity_pre_iso
gw,260,,,DEU,gw_260_continues_as_unified_germany
gw,265,,,DDR,contemporaneous
gw,267,,,,no_iso_code
gw,269,,,,no_iso_code
gw,271,,,,no_iso_code
gw,273,,,,no_iso_code
gw,275,,,,no_iso_code
gw,280,,,,no_iso_code
gw,290,,,POL,name
gw,300,,,,no_iso_code
gw,305,,,AUT,name
gw,310,,,HUN,name
gw,315,,1993-01-01,CSK,contemporaneous
gw,316,,,CZE,name
gw,317,,,SVK,name
gw,325,,,ITA,name
gw,327,,,,no_iso_code
gw,329,,,,no_iso_code
gw,332,,,,no_iso_code
gw,335,,,,no_iso_code
gw,337,,,,no_iso_code
gw,338,,,MLT,name
gw,339,,,ALB,name
gw,341,,,MNE,name
gw,343,,,MKD,name
gw,344,,,HRV,name
gw,340,2006-06-05,,SRB,contemporaneous
gw,340,,1915-10-02,,no_iso_code
gw,345,,2003-02-04,YUG,contemporaneous
gw,345,2003-02-04,,SCG,contemporaneous
gw,346,,,BIH,name
gw,347,,,XKX,user_assigned_code_not_iso
gw,349,,,SVN,name
gw,350,,,GRC,name
